"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA027 Kin terms for cousins,Code: EA027 Kin terms for cousins,Description: EA027 Kin terms for cousins,Comment: EA027 Kin terms for cousins,Subcase: EA027 Kin terms for cousins,References: EA027 Kin terms for cousins,Focal Year: EA043 Descent: major type,Code: EA043 Descent: major type,Description: EA043 Descent: major type,Comment: EA043 Descent: major type,Subcase: EA043 Descent: major type,References: EA043 Descent: major type
Ethnographic Atlas,Nankanse,Ag12,xd247,Nankanse (Ag12),10.0,-1.0,10.0,-1.0,nank1249,Nankana,,Atlantic-Congo,1910,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Rattray(1932); Manoukian(1952b); Tauxier(1912); ,1910,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,,Rattray(1932); Manoukian(1952b); Tauxier(1912); 
Ethnographic Atlas,Sandawe,Aa6,xd6,Sandawe (Aa6),-5.0,36.0,-5.0,36.0,sand1273,Sandawe,sad,Sandawe,1920,8,"Mixed or variant patterns not adequately represented by any of the foregoing symbols. The details are given under ""Classification by Clusters.""","Special terms for MoBrCh, but sibling terms for other cousins",,Kimmenade(1936); Dempwolff(1916); Huntingford(1953b); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Kimmenade(1936); Dempwolff(1916); Huntingford(1953b); 
Ethnographic Atlas,Punjabi,Ea13,xd600,"Punjabi, West (Ea13)",32.0,73.0,32.0,73.0,panj1256,Panjabi,pan,Indo-European,1950,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,Mohla Village,Dass(1954); Wilbur(1964); Callard and Wheeler(1963); Kennedy(1957); Honigmann(1958); Honigmann(1957); Eglar(1960); Eglar(1957); Symonds(1950); Palmer(1961); ,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Mohla Village,Dass(1954); Wilbur(1964); Callard and Wheeler(1963); Kennedy(1957); Honigmann(1958); Honigmann(1957); Eglar(1960); Eglar(1957); Symonds(1950); Palmer(1961); 
Ethnographic Atlas,Biafada,Ag17,xd252,Biafada (Ag17),12.0,-15.0,12.0,-15.0,biaf1240,Biafada,bif,Atlantic-Congo,,NA,Missing data,,,,1940,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Gomes(1946); 
Ethnographic Atlas,Tonga,Ac13,xd37,Lake Tonga (Ac13),-12.0,34.0,-12.0,34.0,tong1321,Tonga (Nyasa),tog,Atlantic-Congo,1950,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Tew(1950); Velsen(1964); ,1950,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Tew(1950); Velsen(1964); 
Ethnographic Atlas,Kpe,Ae2,xd138,Kpe (Ae2),4.22,9.27,4.0,9.0,mokp1239,Mokpwe,bri,Atlantic-Congo,,NA,Missing data,,,,1950,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,,Ardener(1956); Leuschner(1903); 
Ethnographic Atlas,Mee,Ie1,xd785,Kapauku (Ie1),-4.0,136.0,-4.0,136.0,ekar1243,Ekari,ekg,Nuclear Trans New Guinea,1950,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,"Botukebo village, Kamu Valley,  Ijaaj-Pigome confederacy",Pospisil(1958); Pospisil(1963b); Pospisil(1963a); Pospisil(1960); ,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,"Botukebo village, Kamu Valley,  Ijaaj-Pigome confederacy",Pospisil(1958); Pospisil(1963b); Pospisil(1963a); Pospisil(1960); 
Ethnographic Atlas,Samburu,Aj29,xd405,Samburu (Aj29),1.0,37.0,1.0,37.0,samb1315,Samburu,saq,Nilotic,,NA,Missing data,,,,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)","See related comment(s) by Murdock: variable EA017: The phratries are grouped into moieties, which have ""no very great significance""",,Spencer(1965); 
Ethnographic Atlas,Siwans,Cc3,xd500,Siwans (Cc3),29.0,26.0,29.0,26.0,siwi1239,Siwi,siz,Afro-Asiatic,1920,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,inhabitants of the oasis of Siwa,Belgrave(1923); Cline(1936); Abd Allah(1917); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,inhabitants of the oasis of Siwa,Belgrave(1923); Cline(1936); Abd Allah(1917); 
Ethnographic Atlas,Chamacoco,Sh6,xd1393,Chamacoco (Sh6),-20.0,-59.0,-20.0,-59.0,cham1315,Chamacoco,ceg,Zamucoan,,NA,Missing data,,,,1890,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Baldus(1931); Boggiani(1894); 
Ethnographic Atlas,Mimika,Ie30,xd808,Mimika (Ie30),-4.0,135.0,-4.0,135.0,kamo1255,Kamoro,kgq,Nuclear Trans New Guinea,1950,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Pouwer(1955); ,1950,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Pouwer(1955); 
Ethnographic Atlas,DeneTha,Na17,xd1034,Slave (Na17),61.0,-120.0,61.0,-120.0,sout2959,South Slavey,xsl,Athapaskan-Eyak-Tlingit,1860,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,"Lynx Point band, Fort Simpson",Helm and Leacock(nd); MacNeish(1960b); Honigmann(1946); Mason(1946); Helm(1961); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,"Lynx Point band, Fort Simpson",Helm and Leacock(nd); MacNeish(1960b); Honigmann(1946); Mason(1946); Helm(1961); 
Ethnographic Atlas,Tehuelche,Sg4,xd1386,Tehuelche (Sg4),-46.0,-70.0,-46.0,-70.0,tehu1242,Tehuelche,teh,Chonan,,NA,Missing data,,,,1870,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,Equestrian,Cooper(1946b); Musters(1972); Viedma(1837); Bourne(1874); Musters(1871); 
Ethnographic Atlas,Fali,Ai12,xd340,Fali (Ai12),10.0,14.0,10.0,14.0,nort2770,North Fali,fll,Atlantic-Congo,,NA,Missing data,,,,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Lembezat(1961); Malzy(1956); Foelich(1956); 
Ethnographic Atlas,Lawa,Ej12,xd719,Lawa (Ej12),18.0,98.0,18.0,98.0,west2396,Western Lawa,lcp,Austroasiatic,,NA,Missing data,,,,1960,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Kunstadter(1966); Le Bar et al.(1964a); Kunstadter(1965); 
Ethnographic Atlas,Bororo,Si1,xd1397,Bororo (Si1),-16.0,-55.0,-16.0,-55.0,boro1282,Bororo,bor,Bororoan,1920,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,Kejara,Lévi-Strauss(1936); Oberg(1953a); Fric and Radin(1906); Steinen(1894); ,1920,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,Kejara,Lévi-Strauss(1936); Oberg(1953a); Fric and Radin(1906); Steinen(1894); 
Ethnographic Atlas,Temne,Af57,xd238,Temne (Af57),8.46,-12.64,8.0,-13.0,timn1235,Timne,tem,Atlantic-Congo,1910,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,,Thomas(1916); McCulloch(1950); Langley(1939); ,1910,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Thomas(1916); McCulloch(1950); Langley(1939); 
Ethnographic Atlas,Ekonda,Ae20,xd139,Ekonda (Ae20),-2.0,18.0,-2.0,18.0,ekon1238,Ekonda Mongo,,Atlantic-Congo,,NA,Missing data,,,,1940,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Gilliard(1925); Van der Kerken(1944); Brown(1944); Philippe(1954); Muller(1956); 
Ethnographic Atlas,Pukapukans,Ii3,xd882,Pukapukans (Ii3),-10.89,-165.84,-11.0,-166.0,puka1242,Pukapuka,pkp,Austronesian,1930,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",But Iroquois for cross-cousins of the opposite sex,,Beaglehole and Beaglehole(1938); Macgregor(1935); ,1930,7,"Mixed (EA017  and/or EA019 > 1,and EA021 not equal to 9)",,,Beaglehole and Beaglehole(1938); Macgregor(1935); 
Ethnographic Atlas,Ajie,Ih5,xd871,Ajie (Ih5),-21.37,165.47,-22.0,165.0,ajie1238,Ajië,aji,Austronesian,1860,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,Neje Chiefdom,Guiart(1956b); Leenhardt(1930); Leenhardt(1937); Guiart(1963); Barrau(1956); ,1860,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Neje Chiefdom,Guiart(1956b); Leenhardt(1930); Leenhardt(1937); Guiart(1963); Barrau(1956); 
Ethnographic Atlas,Bambara,Ag1,xd244,Bambara (Ag1),13.0,-7.0,13.0,-7.0,bamb1269,Bambara,bam,Mande,1920,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,Segou to Bamako on Niger River,Monteil(1924); Henry(1910); Paques(1954); Dieterlen(1951); Monteil(1967); Dieterlen and Cisse(1972); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Segou to Bamako on Niger River,Monteil(1924); Henry(1910); Paques(1954); Dieterlen(1951); Monteil(1967); Dieterlen and Cisse(1972); 
Ethnographic Atlas,Moro,Ai40,xd371,Moro (Ai40),11.0,30.0,11.0,30.0,moro1285,Moro,mor,Heiban,1940,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Nadel(1947); ,1940,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Nadel(1947); 
Ethnographic Atlas,Iban,Ib1,xd750,Iban (Ib1),2.0,112.0,2.0,112.0,iban1264,Iban,iba,Austronesian,1950,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,"Ulu Ai Group, Baleh",Roth(1892); Gomes(1911); Howell(1908-10); Sandin(1968); Roberts and Kaplan(1956); Freeman(1958b); Freeman(1958a); Freeman(1957); Freeman(1955b); Freeman(1955a); ,1950,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,"Ulu Ai Group, Baleh",Roth(1892); Gomes(1911); Howell(1908-10); Sandin(1968); Roberts and Kaplan(1956); Freeman(1958b); Freeman(1958a); Freeman(1957); Freeman(1955b); Freeman(1955a); 
Ethnographic Atlas,Koiari,Ie24,xd801,Koiari (Ie24),-9.0,148.0,-9.0,148.0,gras1249,Grass Koiari,kbk,Koiarian,1870,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Lawes(1879); Chalmers(1890); ,1870,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Lawes(1879); Chalmers(1890); 
Ethnographic Atlas,Lenca,Sa12,xd1312,Lenca (Sa12),14.0,-88.0,14.0,-88.0,lenc1242,Lenca-Honduras,,Lencan,,NA,Missing data,,,,1948,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Stone(1948); 
Ethnographic Atlas,Cowichan,Nb26,xd1086,Cowichan (Nb26),49.01,-122.73,49.0,-123.0,cowi1241,Cowichan,,Salishan,1880,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Barnett(1955); Lane(1963a); Barnett(1939); Barnett(1938); ,1880,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Barnett(1955); Lane(1963a); Barnett(1939); Barnett(1938); 
Ethnographic Atlas,Mekeo,Ie22,xd799,Mekeo (Ie22),-9.0,147.0,-9.0,147.0,meke1243,Mekeo,mek,Austronesian,1900,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Williamson(1913); Belshaw(1951); Seligmann(1910); ,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Williamson(1913); Belshaw(1951); Seligmann(1910); 
Ethnographic Atlas,Páez,Sf5,xd1378,Paez (Sf5),3.0,-76.0,3.0,-76.0,paez1247,Páez,pbb,Páez,,NA,Missing data,,,,1900,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Pittier de Fabrega(1907); Bernal Villa(1954); 
Ethnographic Atlas,Armenians,Ci10,xd575,Armenians (Ci10),40.0,45.0,40.0,45.0,nucl1235,Modern Armenian,hye,Indo-European,1900,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,Vicinity of Erevan,Kohler(1906); Klidschian(1911); Haxthausen(1854); Karst(1907-07); ,1900,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",See related comment(s) by Murdock: variable EA017: Formerly patrilineal and still patronymic,Vicinity of Erevan,Kohler(1906); Klidschian(1911); Haxthausen(1854); Karst(1907-07); 
Ethnographic Atlas,Duruma,Ad31,xd100,Duruma (Ad31),-4.0,39.0,-4.0,39.0,duru1249,Duruma,dug,Atlantic-Congo,,NA,Missing data,,,,1910,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,,Prins(1952); Werner(1915); 
Ethnographic Atlas,Sumbanese,Ic9,xd771,Sumbanese (Ic9),-10.0,120.0,-10.0,120.0,kamb1299,Kambera,xbr,Austronesian,,NA,Missing data,,,,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to eastern Sumba,Nooteboom(1940); 
Ethnographic Atlas,Tagbanua,Ia7,xd747,Tagbanua (Ia7),10.0,119.0,10.0,119.0,tagb1258,Tagbanwa,tbw,Austronesian,1950,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,,Fox(1954); ,1950,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Fox(1954); 
Ethnographic Atlas,Lengua,Sh9,xd1396,Lengua (Sh9),-23.0,-59.0,-23.0,-59.0,leng1262,Lengua,leg,Lengua-Mascoy,,NA,Missing data,,,,1890,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,Those in contact with mission,Hawtrey(1901); Métraux(1946); Baldus(1931); Grubb(1911); 
Ethnographic Atlas,Seniang,Ih2,xd868,Seniang (Ih2),-16.51,167.47,-17.0,167.0,sout2857,South West Bay,sns,Austronesian,1930,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,Malekula Island,Deacon(1934); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Malekula Island,Deacon(1934); 
Ethnographic Atlas,Bolewa,Cb7,xd484,Bolewa (Cb7),11.0,11.0,11.0,11.0,nucl1695,Nuclear Bole,bol,Afro-Asiatic,1920,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins","For cross-cousins of opposite sex, but Hawaiian for those of same sex",,Meek(1931c); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Meek(1931c); 
Ethnographic Atlas,Giriama,Ad32,xd101,Giriama (Ad32),-3.0,40.0,-3.0,40.0,giry1241,Giryama,nyf,Atlantic-Congo,1900,7,"Sudanese, i.e., FaSiCh and MoBrCh distinguished alike from siblings, parallel cousins, and each other but without conforming to either the Crow, the descriptive, or the Omaha patterns",,,Princs(1952); Barrett(1911b); Johnstone(1902); ,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Princs(1952); Barrett(1911b); Johnstone(1902); 
Ethnographic Atlas,Anfillo,Ca27,xd434,Anfillo (Ca27),9.0,35.0,9.0,35.0,anfi1235,Anfillo,myo,Ta-Ne-Omotic,,NA,Missing data,,,,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Cerulli(1956); Grottanelli(1940); 
Ethnographic Atlas,Blin,Ca37,xd445,Bogo (Ca37),16.0,36.0,16.0,36.0,bili1260,Bilin,byn,Afro-Asiatic,,NA,Missing data,,,,1850,NA,Missing data,"See related comment(s) by Murdock: variable EA017: No data on descent, but distributional evidence suggests the patrilineal rule",Bogo Tribe,Munzinger(1859); 
Ethnographic Atlas,Gagauz,ch17,xd554,Gagauz (ch17),45.44,29.32,45.0,29.0,gaga1249,Gagauz,gag,Turkic,,NA,Missing data,,,,1894,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to those of the Benderskij Uezd,Tolstov(1964); Moshkov(1900); Semenov(1900c); Guboglo(1998); 
Ethnographic Atlas,Serrano,Nc30,xd1130,Serrano (Nc30),34.0,-117.0,34.0,-117.0,serr1255,Serrano,ser,Uto-Aztecan,1870,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Gifford(1918a); Drucker(1937); Strong(1929a); Benedict(1924); Gifford(1922j); ,1870,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Gifford(1918a); Drucker(1937); Strong(1929a); Benedict(1924); Gifford(1922j); 
Ethnographic Atlas,Edo,Af24,xd202,Edo (Af24),6.0,6.0,6.0,6.0,bini1246,Bini,bin,Atlantic-Congo,1900,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Thomas(1910); Bradbury(1957); Roth(1903); ,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Thomas(1910); Bradbury(1957); Roth(1903); 
Ethnographic Atlas,Northern Saulteaux,Na33,xd1049,Northern Saulteaux (Na33),52.0,-98.0,52.0,-98.0,alba1270,Albany River Ojibwa,,Algic,1870,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,Berens River band,Hallowell(1963); Hallowell(1955); Hallowell(1942); Hallowell(1941); Hallowell(1940); Hallowell(1939); Hallowell(1938b); Hallowell(1938a); Dunning(1959b); Skinner(1912); ,1870,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Berens River band,Hallowell(1963); Hallowell(1955); Hallowell(1942); Hallowell(1941); Hallowell(1940); Hallowell(1939); Hallowell(1938b); Hallowell(1938a); Dunning(1959b); Skinner(1912); 
Ethnographic Atlas,Shuswap,Nd11,xd1143,Shuswap (Nd11),51.0,-120.0,51.0,-120.0,shus1248,Shuswap,shs,Salishan,1850,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,with special reference to the southeastern Shuswap,Teit(1909); Ray(1942); ,1850,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to the southeastern Shuswap,Teit(1909); Ray(1942); 
Ethnographic Atlas,Soromadja,Ie33,xd811,Soromadja (Ie33),-2.0,138.0,-2.0,138.0,nucl1595,Nuclear Kwerba,kwe,Kwerbic,1950,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,with special reference to the village of Muramarew,Oosterwal(1967); ,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to the village of Muramarew,Oosterwal(1967); 
Ethnographic Atlas,Gola,Af55,xd236,Gola (Af55),7.0,-11.0,7.0,-11.0,gola1255,Gola,gol,Atlantic-Congo,1950,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,d'Azevedo(1962); ,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)","See related comment(s) by Murdock: variable EA017, EA021: Since children are affiliated with the mother's group in cases of uxorilocal residence, descent groups are in a measure ambilineal",,d'Azevedo(1962); 
Ethnographic Atlas,Kutchin,Na20,xd1037,Kutchin (Na20),66.0,-135.0,66.0,-135.0,gwic1235,Gwich'in,gwi,Athapaskan-Eyak-Tlingit,1880,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,with special reference to the Tatlit of Peel River Kutchin,Slobodin(1962); Osgood(1936); ,1880,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,with special reference to the Tatlit of Peel River Kutchin,Slobodin(1962); Osgood(1936); 
Ethnographic Atlas,Raroians,Ij5,xd894,Raroians (Ij5),-15.94,-142.31,-16.0,-142.0,tuam1242,Tuamotuan,pmt,Austronesian,1900,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Danielsson(1955); Danielsson(1954); ,1900,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)",,,Danielsson(1955); Danielsson(1954); 
Ethnographic Atlas,Baffin Island Inuit,Na13,xd1030,Baffinland (Na13),65.24,-64.63,65.0,-65.0,baff1240,Baffinland Eskimo,,Eskimo-Aleut,,NA,Missing data,,,,1880,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Boas(1901-07); Boas(1888); 
Ethnographic Atlas,Māori,Ij2,xd891,Maori (Ij2),-38.41,176.31,-35.0,175.0,maor1246,Maori,mri,Austronesian,1820,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Nga Puhi Tribe,Best(1952); Best(1925); Best(1924); Hawthorn(1944); Reed(1963); Buck(1949); Earle(1832); Polack(1838); Cruise(1824); Wright(1959); Shortland(1856); Gudgeon(1885); Maning(1876); Firth(1959); ,1820,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)",,Nga Puhi Tribe,Best(1952); Best(1925); Best(1924); Hawthorn(1944); Reed(1963); Buck(1949); Earle(1832); Polack(1838); Cruise(1824); Wright(1959); Shortland(1856); Gudgeon(1885); Maning(1876); Firth(1959); 
Ethnographic Atlas,Kumyk,Ci3,xd579,Kumyk (Ci3),42.0,48.0,42.0,48.0,kumy1244,Kumyk,kum,Turkic,1900,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,with special reference to the Kayakent group of eastern Dagestan,Gadzheva(1958); ,1900,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to the Kayakent group of eastern Dagestan,Gadzheva(1958); 
Ethnographic Atlas,Chugach,Na10,xd1027,Chugach (Na10),60.72,-146.49,60.0,-147.0,paci1278,Pacific Gulf Yupik,ems,Eskimo-Aleut,1930,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,,Birket-Smith(1953); ,1930,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Birket-Smith(1953); 
Ethnographic Atlas,Tazarawa,Cb25,xd475,Tazarawa (Cb25),14.0,8.0,14.0,8.0,haus1257,Hausa,hau,Afro-Asiatic,,NA,Missing data,,,,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Anonymous(1939); 
Ethnographic Atlas,Tlicho,Na15,xd1032,Dogrib (Na15),63.0,-117.0,63.0,-117.0,dogr1252,Dogrib,dgr,Athapaskan-Eyak-Tlingit,1860,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Helm and Lurie(1961); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Helm and Lurie(1961); 
Ethnographic Atlas,Cariña,Sb4,xd1329,Carinya (Sb4),9.0,-64.0,9.0,-64.0,gali1262,Galibi Carib,car,Cariban,1950,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",Cousin terms are derived from Spanish,with special reference to the Cachama group,Wilbert(1957a); Schwerin(1967); Schwerin(1966); Schwein(1963); ,1950,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)","See related comment(s) by Murdock: variable EA019: But Schwerin reports lineages (code ""3"")",with special reference to the Cachama group,Wilbert(1957a); Schwerin(1967); Schwerin(1966); Schwein(1963); 
Ethnographic Atlas,Dzing,Ac22,xd47,Dzing (Ac22),-4.0,20.0,-4.0,20.0,ding1239,Ding,diz,Atlantic-Congo,1930,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins","Probable, though the report is confused",,Mertens(1935); ,1930,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Mertens(1935); 
Ethnographic Atlas,Cham,Ej11,xd718,Cham (Ej11),11.0,108.0,11.0,108.0,east2563,Eastern Cham,cjm,Austronesian,1950,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,with special reference to the non-Muslim Cham of Vietnam,Lafont(1964); ,1950,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,with special reference to the non-Muslim Cham of Vietnam,Lafont(1964); 
Ethnographic Atlas,Luchazi,Ac27,xd52,Luchazi (Ac27),-13.0,23.0,-13.0,23.0,luch1239,Luchazi,lch,Atlantic-Congo,1930,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,McCulloch(1951); Baumann(1935); ,1930,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,McCulloch(1951); Baumann(1935); 
Ethnographic Atlas,Yakut,Ec2,xd628,Yakut (Ec2),65.0,125.0,65.0,125.0,yaku1245,Yakut,sah,Turkic,1900,7,"Sudanese, i.e., FaSiCh and MoBrCh distinguished alike from siblings, parallel cousins, and each other but without conforming to either the Crow, the descriptive, or the Omaha patterns",,with special reference to the Yakutsk district,Gayton(1948b); Chodzidlo(1951); Jochelson(1933); Sumner(1901); Priklonskii(1953); ,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to the Yakutsk district,Gayton(1948b); Chodzidlo(1951); Jochelson(1933); Sumner(1901); Priklonskii(1953); 
Ethnographic Atlas,Besermyan,ch13,xd550,Besermyan (ch13),58.0,52.0,58.0,52.0,nort2676,North Udmurt,,Uralic,,NA,Missing data,,,,1894,7,"Mixed (EA017  and/or EA019 > 1,and EA021 not equal to 9)",,with special reference to the Glazovskij Uezd Besermyan,Miheev(1901); Stejnfel'd(1894); Shkljaev(1997); Vladykin and Panova(1998); Popova(1992); 
Ethnographic Atlas,Hadza,Aa9,xd9,Hatsa Kindiga (Aa9),-3.0,35.0,-3.0,35.0,hadz1240,Hadza,hts,Hadza,,NA,Missing data,,,,1910,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,Hatsa Kindiga Tribe,Bleek(1931); Woodburn(1970); Woodburn(1968b); Woodburn(1968a); Woodburn(1964); Kohl-Larsen(1958); 
